epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,191.044,1.34375,1.94929,1.05783,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00176834,0.00176834,0.00176834
119,192.981,1.14518,1.45728,0.99658,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00176636,0.00176636,0.00176636
120,194.984,1.13745,1.55022,1.00093,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00176438,0.00176438,0.00176438
121,196.263,1.16688,1.85583,1.01068,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.0017624,0.0017624,0.0017624
122,197.619,1.22367,1.588,1.02731,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00176042,0.00176042,0.00176042
123,198.903,1.28158,1.89246,1.05374,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00175844,0.00175844,0.00175844
124,200.16,1.18662,1.29292,0.96037,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00175646,0.00175646,0.00175646
125,201.42,1.16878,1.32874,0.99294,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00175448,0.00175448,0.00175448
126,202.778,1.14261,1.56596,1.00364,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.0017525,0.0017525,0.0017525
127,204.347,1.14453,1.30428,0.97099,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00175052,0.00175052,0.00175052
128,206.085,1.19335,1.35807,0.98995,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00174854,0.00174854,0.00174854
129,208.064,1.17431,1.51146,1.03976,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00174656,0.00174656,0.00174656
130,209.755,1.14373,1.25713,0.96932,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00174458,0.00174458,0.00174458
131,211.012,1.2392,1.32244,1.01164,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.0017426,0.0017426,0.0017426
132,212.47,1.14037,1.21034,0.93277,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00174062,0.00174062,0.00174062
133,213.731,1.14221,1.52046,0.9963,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00173864,0.00173864,0.00173864
134,215.017,1.16563,1.36959,0.97903,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00173666,0.00173666,0.00173666
135,216.373,1.17672,1.29856,0.98086,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00173468,0.00173468,0.00173468
136,217.658,1.1145,1.68023,0.98235,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.0017327,0.0017327,0.0017327
137,219.198,1.16228,1.33423,0.98138,0.73857,0.56757,0.66872,0.32391,1.47402,1.45614,1.08887,0.00173072,0.00173072,0.00173072
138,221.346,1.21691,1.25534,0.99068,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00172874,0.00172874,0.00172874
139,223.34,1.16447,1.32484,0.98729,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00172676,0.00172676,0.00172676
140,224.6,1.14417,1.40035,1.00019,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00172478,0.00172478,0.00172478
141,225.942,1.09813,1.36249,0.98027,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.0017228,0.0017228,0.0017228
142,227.254,1.08409,1.3412,0.98615,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00172082,0.00172082,0.00172082
143,228.569,1.22022,1.37954,0.99221,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00171884,0.00171884,0.00171884
144,229.868,1.12125,1.24408,0.97054,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00171686,0.00171686,0.00171686
145,231.25,1.14229,1.18847,0.95325,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00171488,0.00171488,0.00171488
146,232.648,0.98426,1.67928,0.96623,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.0017129,0.0017129,0.0017129
147,234.616,1.23146,1.25383,1.01349,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00171092,0.00171092,0.00171092
148,236.692,1.16717,1.33598,1.00139,0.64978,0.58108,0.67539,0.38284,1.4463,1.39372,1.08764,0.00170894,0.00170894,0.00170894
149,238.416,1.15285,1.39171,1.01374,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00170696,0.00170696,0.00170696
150,239.667,1.01966,1.43723,0.98128,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00170498,0.00170498,0.00170498
151,240.929,1.17621,1.18451,1.00007,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.001703,0.001703,0.001703
152,242.245,1.17596,1.28,0.98304,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00170102,0.00170102,0.00170102
153,243.566,1.11133,1.30961,0.96397,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00169904,0.00169904,0.00169904
154,244.91,1.12879,1.36679,0.98665,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00169706,0.00169706,0.00169706
155,246.243,1.14336,1.14651,0.94256,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00169508,0.00169508,0.00169508
156,247.616,1.11047,1.12977,0.93892,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.0016931,0.0016931,0.0016931
157,249.78,1.18201,1.30013,1.01394,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00169112,0.00169112,0.00169112
158,251.806,1.11912,1.20288,0.96772,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00168914,0.00168914,0.00168914
159,253.32,1.11089,1.13237,0.96016,0.75324,0.62162,0.71951,0.40787,1.35919,1.19203,1.05804,0.00168716,0.00168716,0.00168716
160,254.578,1.09684,1.12987,0.97162,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.00168518,0.00168518,0.00168518
161,255.898,1.01481,1.51767,0.9939,0.70028,0.66304,0.71764,0.40203,1.36554,1.24599,1.06342,0.0016832,0.0016832,0.0016832
